area,area_km,avg_neighbor_degree_avg,avg_weighted_neighbor_degree_avg,circuity_avg,clustering_coefficient_avg,clustering_coefficient_weighted_avg,count_intersections,degree_centrality_avg,edge_density_km,edge_length_avg,edge_length_total,geoid,int_0_streets_count,int_0_streets_prop,int_10_streets_count,int_10_streets_prop,int_11_streets_count,int_11_streets_prop,int_12_streets_count,int_12_streets_prop,int_13_streets_count,int_13_streets_prop,int_14_streets_count,int_14_streets_prop,int_1_streets_count,int_1_streets_prop,int_2_streets_count,int_2_streets_prop,int_3_streets_count,int_3_streets_prop,int_4_streets_count,int_4_streets_prop,int_5_streets_count,int_5_streets_prop,int_6_streets_count,int_6_streets_prop,int_7_streets_count,int_7_streets_prop,int_8_streets_count,int_8_streets_prop,int_9_streets_count,int_9_streets_prop,intersection_density_km,k_avg,m,n,name,node_density_km,pagerank_max,pagerank_max_node,pagerank_min,pagerank_min_node,self_loop_proportion,street_density_km,street_length_avg,street_length_total,street_segments_count,streets_per_node_avg,streets_per_node_counts,streets_per_node_proportion,time
3203522252,3203.522252,2.824616011014133,0.037638039326099264,1.105278414582244,0.04880317788561943,0.0005569140897056091,154714,2.7893314336254717e-05,20203.5258031813,133.1954051776883,64722444.47934747,56602,69,0.00036965803952662343,,,,,,,,,,,31876,0.17077129953551665,1239,0.006637772622804151,112523,0.6028265446616557,40020,0.21440166292544158,879,0.0047091219817956805,49.0,0.0002625107816928195,4.0,2.1429451566760778e-05,,,,,48.29496654921315,5.2065102673859815,485921,186659,"Miami, FL Urbanized Area",58.26680301142481,2.1814626243425015e-05,99055363,8.065624188310075e-07,3228041680,0.011335175882499418,11524.671621123245,136.21788485262397,36919541.98526123,271033,2.875403811227961,"{0: 69, 1: 31876, 2: 1239, 3: 112523, 4: 40020, 5: 879, 6: 49, 7: 4}","{0: 0.00036965803952662343, 1: 0.17077129953551665, 2: 0.006637772622804151, 3: 0.6028265446616557, 4: 0.21440166292544158, 5: 0.0047091219817956805, 6: 0.0002625107816928195, 7: 2.1429451566760778e-05}",142.84639263153076
2968282764,2968.282764,2.84326789757418,0.04313781286101579,1.0966952062861417,0.04615253291363341,0.0007409271709651354,139269,3.0045958330274418e-05,19352.119125164125,129.09920383257278,57442561.64609943,69184,186,0.0010807732758470415,,,,,,,,,,,32644,0.1896815205201657,2428,0.014108158676110844,108423,0.6300036606836763,27785,0.16144777134091423,592,0.0034398805338787556,35.0,0.00020337131534756158,5.0,2.9053045049651653e-05,1.0,5.810609009930331e-06,,,46.9190475008263,5.170849336718981,444949,172099,"Phoenix--Mesa, AZ Urbanized Area",57.979314534065054,2.2052717643279497e-05,41565434,8.781370949019871e-07,41943179,0.006463662127569676,10586.8730630838,131.25783828700835,31424832.83780753,239413,2.772369392035979,"{0: 186, 1: 32644, 2: 2428, 3: 108423, 4: 27785, 5: 592, 6: 35, 7: 5, 8: 1}","{0: 0.0010807732758470415, 1: 0.1896815205201657, 2: 0.014108158676110844, 3: 0.6300036606836763, 4: 0.16144777134091423, 5: 0.0034398805338787556, 6: 0.00020337131534756158, 7: 2.9053045049651653e-05, 8: 5.810609009930331e-06}",145.17806434631348
2646596433,2646.596433,2.8838834968122264,0.038646561842420414,1.0798057062996174,0.044034978357524034,0.0012093039609848313,107985,3.81952909875059e-05,17787.697443452802,133.47450008966584,47076856.60512541,57628,81,0.0005960308758710512,,,,,,,,,,,27833,0.20480651071751815,1693,0.012457781146292467,77104,0.5673625265822412,28684,0.21106851411710167,477,0.0035099596023517466,25.0,0.00018396014687378125,2.0,1.4716811749902501e-05,,,,,40.80146056782659,5.190663654625862,352703,135899,"Minneapolis--St. Paul, MN--WI Urbanized Area",51.34859183874672,3.1819778649626596e-05,187892214,1.1088592543749551e-06,4047243346,0.007643824974553661,9922.608212929903,137.3612690584246,26261139.50239679,191183,2.7948402858004844,"{0: 81, 1: 27833, 2: 1693, 3: 77104, 4: 28684, 5: 477, 6: 25, 7: 2}","{0: 0.0005960308758710512, 1: 0.20480651071751815, 2: 0.012457781146292467, 3: 0.5673625265822412, 4: 0.21106851411710167, 5: 0.0035099596023517466, 6: 0.00018396014687378125, 7: 1.4716811749902501e-05}",111.65925478935242
2616713969,2616.713969,2.877282018967168,0.04593506320349638,1.0750467981561456,0.030593185988509245,0.0005565228132152297,121141,2.911079026130436e-05,18245.72258861976,113.18077165383824,47743837.17214016,80389,171,0.0010044642857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.87406015037594e-06,48928,0.287406015037594,1601,0.00940437030075188,94197,0.5533188439849624,24817,0.1457765507518797,478,0.002807800751879699,42.0,0.0002467105263157895,5.0,2.9370300751879698e-05,0.0,0.0,0.0,0.0,46.295086675558615,4.955791823308271,421837,170240,"Seattle, WA Urbanized Area",65.05869652427418,2.3446423247799105e-05,53113473,8.858964411326204e-07,3388691970,0.006618670244667964,9664.68520850888,115.14796287856221,25289716.79109286,219628,2.5650845864661656,"{0: 171, 1: 48928, 2: 1601, 3: 94197, 4: 24817, 5: 478, 6: 42, 7: 5, 8: 0, 9: 0, 10: 0, 11: 0, 12: 0, 13: 0, 14: 1}","{0: 0.0010044642857142856, 1: 0.287406015037594, 2: 0.00940437030075188, 3: 0.5533188439849624, 4: 0.1457765507518797, 5: 0.002807800751879699, 6: 0.0002467105263157895, 7: 2.9370300751879698e-05, 8: 0.0, 9: 0.0, 10: 0.0, 11: 0.0, 12: 0.0, 13: 0.0, 14: 5.87406015037594e-06}",135.17654705047607
2478756683,2478.756683,2.8483064164380836,0.03615813581958681,1.102606641396569,0.047673931283601985,0.0005804102513955613,89491,4.6361236580996295e-05,16160.213607192534,138.8042381441225,40057237.47753603,86599,67,0.0006004767965011023,,,,,,,,,,,22020,0.19735073222319813,1033,0.009258097474412518,65590,0.5878398967538404,22347,0.20028141748373335,472,0.0042302245962465715,47.0,0.00042122999157540015,2.0,1.792468049257022e-05,,,,,36.10318052342695,5.172847693989855,288588,111578,"Tampa--St. Petersburg, FL Urbanized Area",45.01369608611964,3.9767312422549305e-05,4424513010,1.352537769220287e-06,1534328839,0.00802874686404147,8978.848822081272,141.25116791300556,22256381.523380633,157566,2.804316263062611,"{0: 67, 1: 22020, 2: 1033, 3: 65590, 4: 22347, 5: 472, 6: 47, 7: 2}","{0: 0.0006004767965011023, 1: 0.19735073222319813, 2: 0.009258097474412518, 3: 0.5878398967538404, 4: 0.20028141748373335, 5: 0.0042302245962465715, 6: 0.00042122999157540015, 7: 1.792468049257022e-05}",85.08739495277405
2392108893,2392.108893,2.8615081671450064,0.03754761256753739,1.0987175318810218,0.04048330418658242,0.0005806083170309622,86756,4.7360985583541884e-05,16508.875706071256,137.5342290410283,39491028.389924705,77770,192,0.0017436158233135966,,,,,,,,,,,23168,0.21039630934650733,1418,0.012877329361763957,67674,0.6145700897235642,17358,0.15763376802644485,267,0.0024247157542954703,37.0,0.000336009299284391,1.0,9.08133241309165e-06,1.0,9.08133241309165e-06,,,36.26757973011724,5.215154927530968,287136,110116,"St. Louis, MO--IL Urbanized Area",46.03302145743914,3.158940617876624e-05,317981452,1.3703110401020993e-06,191104177,0.03015992421709573,8983.10159648379,139.25937562811148,21488557.21567137,154306,2.7246721638998874,"{0: 192, 1: 23168, 2: 1418, 3: 67674, 4: 17358, 5: 267, 6: 37, 7: 1, 8: 1}","{0: 0.0017436158233135966, 1: 0.21039630934650733, 2: 0.012877329361763957, 3: 0.6145700897235642, 4: 0.15763376802644485, 5: 0.0024247157542954703, 6: 0.000336009299284391, 7: 9.08133241309165e-06, 8: 9.08133241309165e-06}",88.66193270683289
2344635094,2344.635094,2.8893552678315864,0.03944982341043488,1.0930343648461547,0.04293861576477129,0.000249273383708451,76869,5.1806766352663164e-05,14614.955395203864,133.68003197718454,34266737.31683962,69697,360,0.0036188906089788695,,,,,,,,,,,22249,0.22365749210880798,2259,0.022708538571342408,58480,0.5878686744807897,15831,0.1591407145298458,277,0.0027845352741309635,20.0,0.00020104947827660386,2.0,2.010494782766039e-05,,,,,32.78505904680449,5.153581696455498,256334,99478,"Pittsburgh, PA Urbanized Area",42.42792418085336,4.1508204552419893e-05,1818094874,1.5203657777346521e-06,3124145049,0.006612466547551241,7777.614116643498,135.74870848386973,18235667.005472157,134334,2.684513158688353,"{0: 360, 1: 22249, 2: 2259, 3: 58480, 4: 15831, 5: 277, 6: 20, 7: 2}","{0: 0.0036188906089788695, 1: 0.22365749210880798, 2: 0.022708538571342408, 3: 0.5878686744807897, 4: 0.1591407145298458, 5: 0.0027845352741309635, 6: 0.00020104947827660386, 7: 2.010494782766039e-05}",81.73803615570068
2244932613,2244.932613,2.755381993704202,0.04519523340589931,1.1120608460181876,0.024508049744156855,0.0002675791514037134,62959,4.5954825801572205e-05,12557.947254551753,125.98874414149302,28191745.344077043,79093,83,0.00084106846094605,,,,,,,,,,,35642,0.36117303716914595,1174,0.011896558712658586,53909,0.5462790320619351,7735,0.07838150054720117,123,0.0012464026589923392,16.0,0.00016213367921851567,2.0,2.026670990231446e-05,,,,,28.044939805950424,4.534960074581493,223764,98684,"San Juan, PR Urbanized Area",43.95855778856735,5.34483329486092e-05,239008923,1.5229186629666617e-06,3107979858,0.002958474106648076,6624.5146854648665,128.19009294467395,14871589.062697515,116012,2.344675935308662,"{0: 83, 1: 35642, 2: 1174, 3: 53909, 4: 7735, 5: 123, 6: 16, 7: 2}","{0: 0.00084106846094605, 1: 0.36117303716914595, 2: 0.011896558712658586, 3: 0.5462790320619351, 4: 0.07838150054720117, 5: 0.0012464026589923392, 6: 0.00016213367921851567, 7: 2.026670990231446e-05}",71.7949607372284
2040246270,2040.24627,2.8135397920716585,0.037897722176892135,1.0810730782609004,0.03480321467021162,0.000693382289196039,57662,5.6605536411607764e-05,13634.903249936795,139.6093571087746,27818560.497494426,16885,119,0.0014182368574731548,,,,,,,,,,,26126,0.3113685389776777,1258,0.014992789636144779,45870,0.5466766777503664,10244,0.1220875493105462,280,0.003337027899936835,10.0,0.00011917956785488695,,,,,,,28.262274436115007,4.749544138152955,199260,83907,"Cincinnati, OH--KY--IN Urbanized Area",41.12591760797582,4.396739398085117e-05,162771742,1.7955518396852565e-06,197394521,0.008320786911572819,7316.178638020375,141.9667136839804,14926806.176874751,105143,2.4871345656500647,"{0: 119, 1: 26126, 2: 1258, 3: 45870, 4: 10244, 5: 280, 6: 10}","{0: 0.0014182368574731548, 1: 0.3113685389776777, 2: 0.014992789636144779, 3: 0.5466766777503664, 4: 0.1220875493105462, 5: 0.003337027899936835, 6: 0.00011917956785488695}",69.89162707328796
2003985130,2003.98513,2.84620547860681,0.04090150178859751,1.0735130078845907,0.03565798658277339,0.00033240873036584833,46517,8.669280824430352e-05,12786.977075032188,167.44259176549068,25624911.916015398,17668,44,0.0007405038792305491,,,,,,,,,,,12858,0.2163954290715091,1126,0.01895016745485451,37812,0.6363621063969437,7427,0.12499368888739291,137,0.002305659805786028,14.0,0.00023561487066426563,1.0,1.6829633618876118e-05,,,,,23.212248086890746,5.151113280263889,153037,59419,"Cleveland, OH Urbanized Area",29.65041961164652,6.38857802058747e-05,105558282,2.5358390829976808e-06,4173464198,0.018936597032090278,6905.130245337639,171.00355077631122,13837778.33236988,80921,2.6764166344098688,"{0: 44, 1: 12858, 2: 1126, 3: 37812, 4: 7427, 5: 137, 6: 14, 7: 1}","{0: 0.0007405038792305491, 1: 0.2163954290715091, 2: 0.01895016745485451, 3: 0.6363621063969437, 4: 0.12499368888739291, 5: 0.002305659805786028, 6: 0.00023561487066426563, 7: 1.6829633618876118e-05}",46.64110445976257
